@relation comments-weka.filters.unsupervised.instance.RemovePercentage-P50.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L3-H

@attribute comment string
@attribute classification {TEST,IMPLEMENTATION,DESIGN,DEFECT,DOCUMENTATION}

@data
' TODO is it really neceassry to provide Configuration to CollectionPersisters Should it not be enough with associated class or why does EntityPersister is not get access to configuration The only reason I could see that Configuration gets passed to collection persisters is so that they can look up the dom j node name of the entity element in case no explicit node name was applied at the collection element level Are you kidding me Trivial to fix then Just store and expose the node name on the entity persister which the collection persister looks up anyway via other means ',DESIGN
' Hacky Advance position to eat newline here ',DESIGN
' Required otherwise it gets too wide ',DESIGN
' TODO this does not need a full ProfileReference since it uses the reader handed in the constructor It does not make much sense to make its callers init the path to some name which it does not need author Luis Sergio Oliveira euluis ',DESIGN
' TODO Can we put the static block within the init ',IMPLEMENTATION
' todo add the notion of enabled filters to the CacheKey to differentiate filtered collections from non filtered but CacheKey is currently used for both collections and entities would ideally need to define two seperate ones currently this works in conjuction with the check on JavaClassSATD which makes sure to not read from cache with enabled filters EARLY EXIT ',DESIGN
' TODO use an other CheckBox defines in Argo and extends JCheckBox ',DESIGN
' Perhaps if Xerces was not slightly brain damaged we would not need this',DESIGN
' Called after the diagram font gets changed p TODO Do we need to do anything here see java beans PropertyChangeListener propertyChange java beans PropertyChangeEvent ',IMPLEMENTATION
' need to reexamine this',DESIGN
' EATM Call the deprecated method which does the same thing but might have an override in older code ',DESIGN
' TODO We should not actually have to do all this work',DESIGN
' TODO implement clear ',IMPLEMENTATION
' TODO make EntityPersister not depend on SessionFactoryImplementor interface if possible',DESIGN
' XXX clean up this conditional',DESIGN
' XXX This should not be hardcoded',DESIGN
' FIXME add setSeriesItemURLGenerator int CategoryURLGenerator boolean ',DESIGN
' TODO Update the old and new node above this This is issue The old and new UML namespaces are in the event but how do we know which nodes to refresh And how to refresh Not necessarily the namespaces depending on the perspective ',DEFECT
' TODO should define a CompoundCritic',DESIGN
' TODO deal with UNC names',IMPLEMENTATION
' These methods are based on the GraphEvents These need replacing by more specic meaningful requests of the diagram interface model',DESIGN
' The singleton instance TODO Why is this a singleton Would not it be better to have exactly one for every Explorer ',DESIGN
' polymorphism comment above',DESIGN
' This is here because addCompletionsAtListBegin will not work when schema info is still loading',DEFECT
' TODO catch exception if constant is already set by other thread',DESIGN
' Does not appear to be used called by MainFrame setEditAddMenu but that is not called',DESIGN
' Java no longer allows Content Length to be set so do not check it See http bugs sun com bugdatabase view bug do bug id TODO any point in checking the other headers ',DESIGN
' NON NLS TODO use a different format here ',DESIGN
' TODO This will need to be adapted to send undo redo commands back to our consumer e g ArgoUML if a new undo mechanism is implemented for the Model subsystem tfm',DESIGN
' check the error stream for a problem This is a bit questionable since it is possible for processes to output something on stderr but continue processing But without this some problems are not seen e g bad argument type messages from the process ',DESIGN
' TODO Use the following function to have a dropdown set of tools ToolBarFactory addItemsToToolBar buttonPanel actions true Instead this temporary solution param buttonPanel the toolbar param actions an array of actions representing the tool layout ',DESIGN
' This is a big festering hack to make the images the right size from the start ',DESIGN
' Get the content length it tells us how much data to read TODO Maybe support chunked encoding then we cannot rely on content length',DESIGN
' SSS FIXME Is this correct ',DESIGN
' TODO This does not belong here but it is not a good time to move it Find someplace less obtrusive than this inner loop tfm',DESIGN
' This class provides a text field that can be used to display the text of all Comments associated with an annotated ModelElement TODO This could use more work Currently it returns all Comment name or Comment body attributes concatenated together into a single read only document since Nov author Tom Morris tfmorris gmail com ',IMPLEMENTATION
' TODO Hold lock for entire recursive traversal ',DESIGN
' JavaClassSATD getRootElements gets all root elements in the UML repository including available profiles that are not part of the current project degrades performance JavaClassSATD getCurrentProject getRoots only returns user model roots and no profiles JavaClassSATD getCurrentProject getModels gets all root models but no root namespaces TODO Which is best Is there any other way ',DESIGN
' These must be set before reading writing the XML Rather a hack but saves changing all the method calls to include an extra variable AFAIK the variables should only be accessed from one thread so no need to synchronize ',DESIGN
' TODO this needs to move into the renderer state',DESIGN
' TODO temporary hack to avoid unnecessary bug reports for subclasses',DESIGN
' GuardedBy sampleStore TODO perhaps use ConcurrentHashMap ',DESIGN
' TODO Why do we need this as well as control Why is it instantiated when its not always needed ',DESIGN
' here we could probably be a little faster by searching for both indices simultaneously but I will look at that later if it seems like it matters ',DESIGN
' SSS FIXME Should this be a string literal or a string Dummy class for the script',DESIGN
' Create the main draggable label for the association This can be overridden in subclasses to change behaviour TODO Consider introducing this to FigEdgeModelElement and using throughout all edges param owner owning uml element param settings rendering settings ',DESIGN
' TODO is this correct If this is not the first file we ca not write its header now for simplicity we always save it even if there is only one file',DESIGN
' this is retarded excuse me while I drool and make stupid noises',DESIGN
' Note this implementation is temporary We currently keep a flat namespace of the base name of classes i e BeanShell cannot be in the process of defining two classes in different packages with the same base name To remove this limitation requires that we work through namespace imports in an analogous or using the same path as regular class import resolution This workaround should handle most cases so we will try it for now ',DESIGN
' todo should seriously consider not allowing a txn to begin from a child session can always route the request to the root session ',DESIGN
' TODO This should be built by reflection from the metamodel tfm Update for UML x metamodel if not replaced by reflection',DESIGN
' FIXME missing full tests for leap year',TEST
' The Project interface encapsulates all information about a designer is project It contains the list of diagrams and UML models various project properties such as the author is name and defaults for various settings p TODO This interface was mechanically refactored from the implementation class link ProjectImpl It needs to be reviewed and cleaned up eliminating methods which should be part of the public API and splitting the interface into smaller function specific e g TrashCan interfaces author Tom Morris tfmorris gmail com Thomas Neustupny since when it replaced the concrete class of the same name ',DESIGN
' TODO This will vary based on the type of the TagDefinition',DESIGN
' TODO Why are these different colors tfm',IMPLEMENTATION
' TODO We need to rethrow this as some other exception type but that is too much change for the moment ',DESIGN
' Set the number of milliseconds leeway to give before deciding a target is out of date TODO This is not yet used param granularity the granularity used to decide if a target is out of date ',DESIGN
' TODO Add unnamed or new or something Localized of course ',IMPLEMENTATION
' TODO First implementation will be to call buildPopop and extract all the contained actions The toolbar will be built to the same structure The toolbar will be displayed to the left of the JList under the label ',IMPLEMENTATION
' TODO Perhaps use a HashSet or other collection with faster lookup performance in case our callers are doing naive contains lookups',DESIGN
' XXX Perhaps we should not use properties for these three options emacs mode warnings and pedantic but include it in the javac directive ',DESIGN
' we ca not use SystemClassLoader here because that would not work with java webstart ResourceBundle uses its own internal classloader if no classloader is given set classloader null',DESIGN
' TODO This should fetch the stereotype from our profile',DESIGN
' TODO never reached since getTypeName actually throws an exception ',DESIGN
' fucking GTK look and feel ',DESIGN
' TODO process warnings Set Code and Message to success ',DESIGN
' TODO at the moment setSelectedComponent does not take into account the rather complex tab selection mechanism of DetailsPane The tab selection mechanism must be refactored ',DESIGN
' Catch the mismatch and continue to try the next Note this is innefficient should have an isAssignableFrom that does not throw ',DESIGN
' TODO Generalize extension and remove critic specific stuff',DESIGN
' should use try finally here to pop ns',DESIGN
' FIXME the XYItemRenderer interface does not specify the getAnnotations method but it should',DESIGN
' we are depending on the side effect of the load which loads the class but does not turn it into a script I do not like it but until we restructure the code a bit more we will need to quietly let it by here ',DESIGN
' TODO we should be given an Undo manager to use rather than looking for a global one',DESIGN
' TODO Do we really need to do this Carried over from old behavior',DESIGN
' Provides query splitting methods which were originally in QueryTranslator br TODO This will need to be refactored at some point author josh ',DESIGN
' TODO make sure it is really safe to not to copy it',DEFECT
' TODO author fdietz should be removed if we only use Streams ',DESIGN
' TODO remove',DESIGN
' hack to reduce the need to load every class in non GUI mode which only needs functions TODO perhaps use BCEL to scan class files instead class name should contain this string class name should not contain this string',DESIGN
' do not try this at home',DESIGN
' todo this call will not work for anything other than pojos ',DEFECT
' TODO This needs more work We simply throw the new extension point away ',IMPLEMENTATION
' FIXME Make thread pool threads daemons if necessary',IMPLEMENTATION
' SSS FIXME Do we need to check if l is same as whatever popped ',DESIGN
' FIXME Ideally JavaObject instances should be marshallable which means that the JavaObject metaclass should have an appropriate allocator JRUBY ',DESIGN
' a little hack for reverse replace and find',DESIGN
' TODO What other non ModelElement types do we need to handle here ',DESIGN
' TODO what shall we do with the exception ',IMPLEMENTATION
' XXX add exceptions',IMPLEMENTATION
' TODO better way ',DESIGN
' HACK force clinit to be created',DESIGN
' TODO no java stringity',DESIGN
' TODO Except this will not work because the names are different which will cause a test in CheckUMLModelHelper to fail remap put Core Permission Core PackageImport ',DEFECT
' Use a little trick to find out where Argo is being loaded from TODO Use a different resource here ARGOINI is unused and deprecated',IMPLEMENTATION
' AHA this is probably the only way to fix this',DESIGN
' TODO In UML x Event has no parameters TODO Treat ObjectFlowState this does not exist anymore in UML and Classifier',DEFECT
' TODO Add implementation ',IMPLEMENTATION
' TODO Hard coded JDBC ODBC bridge JDK brings back for nvarchar columns in MS SQL Server tables ',DESIGN
' TODO find a decent name before documenting',DOCUMENTATION
' TODO lowercasing done here Was done at random before maybe not needed at all ',IMPLEMENTATION
' append the SQL to return the generated identifier TODO suck into Insert',DESIGN
' TODO We need the project specific diagram settings here',IMPLEMENTATION
' TODO simply remove this override if we fix the above todos',DESIGN
' TODO this needs to be improved even for nongui calling the config panel needs to be initialized ',IMPLEMENTATION
' TODO Rationalize this with getModelElementContainer',DESIGN
' TODO does it matter that an empty line will terminate the loop CSV output files should never contain empty lines so probably not If so then need to check whether the reader is at EOF',DESIGN
' TODO Beautify the nd part of this string ',IMPLEMENTATION
' swaldman modify to allow null values to signify fall through to c p PoolConfig defaults',DESIGN
' TODO get SQL rendering out of here',DESIGN
' TODO fix parser exception',DEFECT
' using IOInputStream may not be the most performance way but it is easy ',DESIGN
' TODO This is currently just a mechanical merge of the tests in from the generic Model test and the NSUML tests They need to be reviewed merged author euluis since version ',DESIGN
' these are pathological cases but retained in case somebody subclassed us ',DESIGN
' this is a hack and really needs to be done better ',DESIGN
' Parse the attribute type AttType StringType TokenizedType EnumeratedType StringType CDATA TokenizedType ID IDREF IDREFS ENTITY ENTITIES NMTOKEN NMTOKENS EnumeratedType NotationType Enumeration TODO validate the type ',IMPLEMENTATION
' Hack in to replace usual readline with this ',DESIGN
' FIXME hack to work around fact that calling Node added root addChild fqn does not properly set the version on the node',DESIGN
' should probably error',DESIGN
' bug fdietz CC should be in Cc instead of To ',DEFECT
' TODO It does not really make sense that a namespace would be returned as part of its own contents but that is the historical behavior ',DESIGN
' TODO treat Message',IMPLEMENTATION
' vulture thread will periodically expunge dead entries entries are also expunged during put operations this is designed to cover the case where many objects are created initially followed by limited put activity FIXME DISABLED below pending resolution of finalization issue ',DEFECT
' XXX actually only on windows ',DEFECT
' TODO arithmetic expressions multiple new Foo ',IMPLEMENTATION
' TODO We do not want to do this once we have dropped UML Map UML names to UML equivalents',DESIGN
' TODO Test Mac keyboard accelerator changes done here by mlivingstone shortcut key',TEST
' stolen from writeManifest',DESIGN
' TODO getAllModelElementsOfKind should probably do this processing of imported elements automatically',DESIGN
' XXX this is not thread safe though luck It is not supposed to be ',DESIGN
' TODO Make Parameter implement SQLItem interface which has a getString method which can also be implemented by SQLString or SQLFragment or some such We can then eliminate the use of instanceof below and clean up the code a bit by making itemsInSql look like ArrayList SQLItem itemsInSql new ArrayList SQLItem ',DESIGN
' Empty implementation not used ',IMPLEMENTATION
' SSS FIXME Does int suffice or do we need long ',DESIGN
' TODO appears to duplicate the threadName field in SampleResult',DESIGN
' Parse an element content model elements choice seq cps S cp S choice S ctokplus S S ctoks S ctokplus cps cps ctoks cps cps seq S stoks S S stoks S stoks cps cps NOTE the opening and S have already been read TODO go over parameter entity boundaries more carefully ',IMPLEMENTATION
' Yuck ',DESIGN
' TODO not quite sure about the full implications of this ',DESIGN
' how to handle empty target lists probably the wizstep should only show an empty pane in that case',IMPLEMENTATION
' Add a Comment with the given string TODO Currently a no op doc is read only param text the property ',DOCUMENTATION
' TODO Can we get this info from UML plugin Perhaps collect all References in the metamodel filter for those which represent containments and find the types on either end tfm',DESIGN
' CSE moved this code down here to fix repaint problems on first display bounds should be set before install Uninstall the old popup from root pane and install the new one Even in case they are the same objects it is necessary to cover the workspace switches etc ',DESIGN
' Fix for this bug Put a mode into the user dir with the same name as one on the system dir Reload edit modes Old mode from system dir still used for highlighting until jEdit restart ',DEFECT
' TODO Make this hack more i n compatible',DESIGN
' TODO Revert to SVN revision in JFreeChart MultipleGradientPaint is JDK issues TODO THEN change visibility of ALL darker Methods EXCEPT darker Paint to private ',DESIGN
' FIXME author karlpeder Is the proper version of html to refer to ',DESIGN
' else if the y coordinate is outside of the classifier role we fix the y in the max y of the classifier role FIXME We should increase the height of the classifier role do not ',DEFECT
' TODO Ruby unlocks the string here',IMPLEMENTATION
' TODO port exact behavior from MRI and move most locking logic into ChannelDescriptor TODO for all LOCK NB cases return false if they would block',IMPLEMENTATION
' small hack to save a cast later on',DESIGN
' The drag gesture listener is notified of drag gestures by a recognizer The typical response is to initiate a drag by invoking JavaClassSATD p TODO find a way to show a different image when multiple elements are dragged param dragGestureEvent the DragGestureEvent describing the gesture that has just occurred see java awt dnd DragGestureListener dragGestureRecognized java awt dnd DragGestureEvent ',IMPLEMENTATION
' need to add static block here',IMPLEMENTATION
' TODO Refresh',IMPLEMENTATION
' TODO refactor to sql package',DESIGN
' Ensure that this race condition is thread safe it does not matter who wins the race ',DESIGN
' This may change if we add advanced parsing capabilities ',DESIGN
' see java awt event ActionListener actionPerformed java awt event ActionEvent TODO From ComboBox javadoc This method is public as an implementation side effect do not call or override We should find some other way to implement this ',DESIGN
' Jun PM waitFor hangs on some Java implementations ',DEFECT
' TODO is it possible to use more than one variable ',IMPLEMENTATION
' SSS FIXME Move this code to some utils area or probably there is already a method for this in some jruby utils class Holy cow Just to append two darned arrays ',DESIGN
' A FigNodeModelElement with no owner should match here TODO This is a temporary solution due to FigPool extending FigNodeModelElement when in fact it should not do so ',DESIGN
' workaround for Swing rendering labels starting with html using the HTML engine',DESIGN
' TODO toLowerCase was not done before Only used in Template ',IMPLEMENTATION
' TODO Why are not we throwing an exception here Returning null results in NPE and no explanation why ',IMPLEMENTATION
' TODO Allow the user to specify the sequence name for dialects that do not natively support auto increment columns without using sequence trigger combo ',IMPLEMENTATION
' avoid error in ant task tests good way ',DESIGN
' TODO This only works if the item is visible all its parents are expanded getExpandedDescendants makeVisible',DEFECT
' FIXME There is some code duplication here with RubyObject inspect',DESIGN
' TODO should it remove the leftovers from other tests cleanAllExtents assert getFacade getRootElements size ',TEST
' TODO need some caching scheme really comes down to decision regarding amount of state if any kept on PropertyAccessors',DESIGN
' The dialog that allows the user to go to any diagram in the project by doubleclicking on it p This dialog is not modal and can stay open while the user is working on the model It is even possible to open multiple of these dialogs although the purpose of such useraction eludes me p TODO This dialog should have multiple tabs named Help Diagram Classifier StateVertex etc Which would allow the user to go to other things than diagrams author MVW ',DESIGN
' TODO We probably should have a StatisticsNotPublishedException to make it clean',DESIGN
' This class manages the projects loaded in argouml and what the current project is p Classes in ArgoUML can ask this class for the current project and set the current project Since we only have one project in ArgoUML at the moment this class does not manage a list of projects like one would expect This could be a nice extension for the future of ArgoUML As soon as the current project is changed a property changed event is fired p TODO Move everything related to the creation of a project into the ProjectFactory since Nov author jaap branderhorst xs all nl stereotype singleton ',DESIGN
' TODO Comment by A Rueckert a rueckert gmx net I think the handle holding the collaboration implementation should rather be a CollaborationUse in UML But as a workaround for now I will try to get a Collaboration representation CollaborationUse and then try to get the owning Classifier from there ',DESIGN
' Check the offenders p This is called from the constructors where the offenders are given TODO Why do we only care about checking the first offenders above param offs The offenders ',IMPLEMENTATION
' TODO author tstich do something',DESIGN
' Choose the arrowhead style for each end p TODO This is called from paint Would it not better be called from renderingChanged ',DESIGN
' index for the item this could probably be more efficient bailing out on assigning args past the end ',DESIGN
' FIXME this is not correct',DEFECT
' TODO Should we handle access and import ',DESIGN
' this may be obsolete not used anywhere ',DESIGN
' Does this dialect support the ALTER TABLE syntax ',DESIGN
' TODO fetch this once as per vars above ',IMPLEMENTATION
' TODO should this be JTLSAVER Only seems to be called by MonitorHealthVisualzer',DESIGN
' TODO This needs to be modified for UML x',IMPLEMENTATION
' DMS Why not this new SubProgressMonitor progressMonitor ',DESIGN
' TODO check if it is OK to just get the first zip entry since the zip file should contain only one xmi file thn',IMPLEMENTATION
' TODO why is this inside a block Forgotten else branch Question by euluis ',DESIGN
' SSS FIXME Where is this set up How is this diff from ClassVarDeclNode ',DESIGN
' TODO We definitely do not want to react to addition and removal of transitions Ca not we be more specific when we register ourselves as a listener ',DESIGN
' TODO This should become private and only called from constructor see org argouml uml diagram ui FigCompartment populate ',DESIGN
' Our superclass no longer has this method so perhaps this whole thing should be removed tfm super updateListeners newOwner ',DESIGN
' It is chunked transfer encoding which we do not really support yet So we just read without blocking because we do not know when to stop reading so we cannot block TODO propery implement support for chunked transfer i e to know when we have read the whole request and therefore allow the reading to block',IMPLEMENTATION
' TODO A minimal update strategy would be better here to minimize work and events firing but it may be better to deprecate the method and force calls to manage updates themselves since they probably usually want to just add or remove a single element tfm ',DESIGN
' todo what is the implication of this ',DESIGN
' TODO Maybe a return message already exists Check first and and if the first found has no activator then set this call message as the activator and skip the code below ',IMPLEMENTATION
' We always prepend an org jruby proxy package to the beginning because java and javax packages are protected and signed jars prevent us generating new classes with those package names See JRUBY ',DESIGN
' TO DO delete the file if it is not a valid file ',IMPLEMENTATION
' there is more to be handled which still need to be implemented ',IMPLEMENTATION
' OK this is a hack Currently when precision scale I have no way to determine if this is valid for the actual data The problem comes when the source db is precision scale are greater or reported to be greater than the precision scale of the destination db In this case it maximimizes both for the destination causing a definition that allows digits to the left of the decimal Trouble is without looking at the actual data there is no way to tell if this is valid in some cases it will be ok in others it will not be ok So for now make the scale be approx one half of the precision to accomodate the most digits to the left and right of the decimal and hopefully that covers the majority of cases ',DESIGN
' FIXME This function needs documentation return boolean param XmlElement E ',DOCUMENTATION
' TODO before inserting find out if there is already a menu item with the same action command if so replace it otherwise insert new ',DESIGN
' this is really irritating we need a way to set stuff',DESIGN
' TODO We overflow on large files We could increase to long to limit this but then the impl gets more involved since java io APIs based on int means we have to chunk up a long into a series of int ops ',DEFECT
' Create an empty but initialized instance of a UML Flow return an initialized UML Flow instance TODO This needs an extra parameter to specify the model extent where the new element should be created ',DESIGN
' TODO the namespace of created events is currently the model I think this is wrong they should be in the namespace of the activitygraph vec addAll JavaClassSATD getAllModelElementsOfKind JavaClassSATD getNamespace getTarget JavaClassSATD getEvent ',DESIGN
' TODO Bob says We are looking at focus change to flag the start of an interaction This is to detect when focus is gained in a prop panel field on the assumption editing of that field is about to start Not a good assumption We Need to see if we can get rid of this ',DESIGN
' Identifier for addonly changeability TODO Note this should not be in UML version ',IMPLEMENTATION
' TODO this is a bit arbitrary expose a switch to the user ',DESIGN
' TODO author fdietz move this to AbstractMessageFolder constructor',DESIGN
' TODO BooleanExpresion is removed from UML x is it OK to use ValueSpecification ',DESIGN
' TODO Get rid of magic numbers Figure out which represent line widths vs padding vs offsets',DESIGN
' TODO why not use the super class value ',DESIGN
' Should we exit at end of the test only applies to server because host is non null ',IMPLEMENTATION
' This is a bit hard coded but if we use scale here some number displays go crazy ',DESIGN
' TODO should this be called if basedir null ',DESIGN
' setFontFamily dialog TODO Is this needed ',DESIGN
' FIXME This whole thing could probably be implemented as a module and mixed into appropriate classes especially if it uses either IOInput OutputStream or is smart about the kind of IO like object it is being used against ',DESIGN
' SSS FIXME Receiver this is the class meta object basically Operand receiver build JavaClassSATD s ',DESIGN
' TODO Not implemented',IMPLEMENTATION
' TODO Enhance the isValidNamespace function so that this never happens ',IMPLEMENTATION
' In contrast to link getZipName returns the member is name without the prepended name of the project but with the extension p TODO This is not used anywhere shall we remove it author Steffen Zschaler return the member is name without any prefix or suffix ',DESIGN
' now we handle some special cases yes UGLY code alert ',DESIGN
' TODO It would be better here to continue the loop and try to build the rest of the compartment Hence try catch should be internal to the loop ',IMPLEMENTATION
' JavaClassSATD getLoggerRepository setThreshold Level OFF TODO Find the proper implementation in java util logging API ',IMPLEMENTATION
' TODO get all properties not just the fetched ones ',IMPLEMENTATION
' TODO correctly implement next function in the model subsystem for issue ',IMPLEMENTATION
' TODO cannot use generateSuffixes it handles the initial suffix differently ',DEFECT
' hack if start and end time is at it is an all day event',DESIGN
' FIXME what if value is null on next line ',DESIGN
' report this ',DESIGN
' invoke callMethodMissing method directly TODO this could be further optimized since some DSLs hit method missing pretty hard ',DESIGN
' if we do not have opt args start after args they will be assigned later this is for crap like def foo a b true which numbers b before a FIXME only starting after required args since opt args may access others and rest args conflicts with compileRoot using to indicate signature ',DESIGN
' wtf ',DESIGN
' Create a notation settings value object with all default values p TODO This class only has partial Undo support basically just those members that had it as part of a previous implementation ',DESIGN
' todo temporary needed because currently persister is the one that creates and renders the join fragments for inheritence hierarchies ',DESIGN
' TODO to be implemented',DESIGN
' Fails on DB for Linux However Windows fixpak driver works without exception Also Linux server with driver works fine as well ',DEFECT
' its maybe better to leave this option out of the dialog make it configurable in the xml file anyway',DESIGN
' TODO support multiple signers',IMPLEMENTATION
' The UML x package structure is entirely different so we have to remap a bunch of stuff Names without embedded colons indicate that the entire package is remapped e g Kernel Core As a matter of fact the only package which did NOT get renamed or moved is UseCases TODO This section is very incomplete tfm ',DESIGN
' not implemented yet',IMPLEMENTATION
' TODO this constructor form is only used from constructor directly below us can it go away ',DESIGN
' TODO improve this hack ',DESIGN
' Move me to classpath ClassManagerImpl ',DESIGN
' TODO should fire its own event and ProjectBrowser should register a listener',DESIGN
' TODO Is this needed correct For when all compartments are hidden ',DESIGN
' Sets the target of the property panel The given target t may either be a Diagram or a modelelement If the target given is a Fig a check is made if the fig has an owning modelelement and occurs on the current diagram If so that modelelement is the target deprecated As of ArgoUml version the visibility of this method will change in the future replaced by link org argouml ui targetmanager TargetManager TODO MVW I think this should not be deprecated param target the new target see org argouml ui TabTarget setTarget java lang Object ',DESIGN
' TODO Find a better default language TODO We should know the notation language since it is us',IMPLEMENTATION
' TODO This and recacheRespondsTo needed to be synchronized for JRUBY but this degraded performance nearly x It is still faster than MRI but a reanalysis of this code may show a faster way to ensure we are caching safely ',IMPLEMENTATION
' TODO the namespace of enlisted events is currently the model I think this is wrong they should be in the namespace of the activitygraph vec addAll JavaClassSATD getAllModelElementsOfKind JavaClassSATD getNamespace getTarget JavaClassSATD getEvent ',DESIGN
' TODO Bobs says what is the purpose of this flag Please document ',DOCUMENTATION
' hear no evil see no evil',DESIGN
' For PointBase if type maps to Pointbase BLOB and the size is not valid PB requires size for BLOBS then set it to something reasonably large like MB is the default size if no size is specified That is practically useless ',DESIGN
' FIXME It may be possible to killpg on systems which support it POSIX library needs to tell whether a particular method works or not',DEFECT
' Make use of the default visibility which is public TODO centralise this knowledge see org argouml uml diagram ui AbstractActionRadioMenuItem valueOfTarget java lang Object ',DOCUMENTATION
' TODO End up with multiple models here',DESIGN
' This panel contains radio buttons that represent the Changeability of an asssociation end author jaap branderhorst xs all nl since Jan TODO For UML x this needs to be changed to be just ReadOnly frozen or not changeable ',IMPLEMENTATION
' TODO We failed to resolve URL signal error',IMPLEMENTATION
' TODO should this just call super ',DESIGN
' TODO fix testcase assertEquals filter result true result ',TEST
' get the right object from the list would it be easier to just call getEntity ',DESIGN
' TODO What are these magic numbers ',DESIGN
' For now use the same renderer as everyone else IN FUTURE change this to use a new instance of renederer for this data type ',DESIGN
' crusty workaround',DESIGN
' Bug we should rely on XMLCalendar to normalize Dave value to ensure that all Date value fields are taken into account ',DEFECT
' TODO author fdietz Add proper description here',DOCUMENTATION
' Searches for a type classifier with name s If the type is not found a new type is created and added to the current namespace p TODO Move to Model subsystem tfm param s the name of the type classifier to be found return Classifier ',DESIGN
' TODO This seems like a brute force workaround and a very indirect one at that It appears to be needed though until we fix the problem properly tfm ',DESIGN
' TODO Rewriter and compiler assume case when empty expression In MRI this is just a when assert caseNode null caseNode is not null ',DEFECT
' if body is a rescue node inspect its pieces separately to avoid it disabling all optz TODO this is gross ',DESIGN
' Is it an exception wrapped in a JavaScriptException ',DESIGN
' TODO figure out how to get then name of the table that the trigger is on and tables name ',IMPLEMENTATION
' Check for duplicate name and rename if necessary',DESIGN
' Provide a description of this timer class TODO Is this ever used I ca not remember where Remove if it is not TODO or obtain text from bean is displayName or shortDescription return the description of this timer class ',DESIGN
