comment,classification
' What is the working directory If local then its the folder of the input file Otherwise its the current dir ',WITHOUT_CLASSIFICATION
' ignore backslashed spaces in w ',WITHOUT_CLASSIFICATION
' CheckStyle MethodNameCheck OFF bc',WITHOUT_CLASSIFICATION
' If logging has changed ',WITHOUT_CLASSIFICATION
' not a class ',WITHOUT_CLASSIFICATION
' EnhancedButton constructor',WITHOUT_CLASSIFICATION
' send a dataset change event to self to trigger plot change event',WITHOUT_CLASSIFICATION
' negative values not allowed parameter value is The JavaClassSATD function is based on e not ',WITHOUT_CLASSIFICATION
' update the cache',WITHOUT_CLASSIFICATION
' Find the next archive path and continue recursively if there is one ',WITHOUT_CLASSIFICATION
' builder addStrut Sizes pixel ',WITHOUT_CLASSIFICATION
' User said to read at least some of the data from the clob',WITHOUT_CLASSIFICATION
' System err println Merge previous and tok ',WITHOUT_CLASSIFICATION
' Commands should operate on the values not their wrappers If the command is values needed to be unwrapped we will back get a new CommandParameter ',WITHOUT_CLASSIFICATION
' property refs for associations defined on a component are not supported so no need to slice',WITHOUT_CLASSIFICATION
' The cache of file packs for faster local access ',WITHOUT_CLASSIFICATION
' add the chart title if one has been specified ',WITHOUT_CLASSIFICATION
' include legend tooltips urls',WITHOUT_CLASSIFICATION
' objectClass defineAnnotatedMethods BasicObjectMethods class ',WITHOUT_CLASSIFICATION
' TR ',WITHOUT_CLASSIFICATION
' loadClass method',WITHOUT_CLASSIFICATION
' Both diagram types shall show sequence numbers when requested ',WITHOUT_CLASSIFICATION
' Informix does not allow quoting column names ',WITHOUT_CLASSIFICATION
' Check each object ',WITHOUT_CLASSIFICATION
' i n TableExportCsvController fileChooserButton Choose ',WITHOUT_CLASSIFICATION
' The name of this source e g a filename foo rb ',WITHOUT_CLASSIFICATION
' end class OrCM',WITHOUT_CLASSIFICATION
' hibernate temp use jdbc metadata defaults is a temporary magic value The need for it is intended to be alleviated with future developement thus it is not defined as an Environment constant it is used to control whether we should consult the JDBC metadata to determine certain Settings default values it is useful to not do this when the database may not be available mainly in tools usage ',DESIGN
' MATCH ALL',WITHOUT_CLASSIFICATION
' Ecore XMLAdapterFactory',WITHOUT_CLASSIFICATION
' If we are disabling the Edit Remove menu item and the Edit Add menu item is disabled then we also need to disable the Edit menu The Java Look and Feel Guidelines say to disable a menu if all menu items are disabled ',WITHOUT_CLASSIFICATION
' both many to one and one to one are represented as a Property EntityPersister is relying on this value to determine lazy fetch groups in terms of field level interception So we need to make sure that we return true here for the case of many to one and one to one with lazy no proxy impl note lazy no proxy currently forces both lazy and unwrap to be set to true The other case we are extremely interested in here is that of lazy proxy where lazy is set to true but unwrap is set to false thus we use both here under the assumption that this return is really only ever used during persister construction to determine the lazy property field fetch groupings If that assertion changes then this check needs to change as well Partially this is an issue with the overloading of the term lazy here ',WITHOUT_CLASSIFICATION
' allow MainExitException to propagate out for exec and friends',WITHOUT_CLASSIFICATION
' Set the content encoding',WITHOUT_CLASSIFICATION
' place raw tab in first position first tab ',WITHOUT_CLASSIFICATION
' iterator through all the files and process them ',WITHOUT_CLASSIFICATION
' createEntities ',WITHOUT_CLASSIFICATION
' This is a particularly nasty bit of code that checks for a parameter entity reference but peeks ahead to catch the in parameter entity declarations ',DESIGN
' TODO Double check tfm',WITHOUT_CLASSIFICATION
' selectLine method',WITHOUT_CLASSIFICATION
' for convenience cast the object to ClobDescriptor',WITHOUT_CLASSIFICATION
' TextAreaOptionPane constructor',WITHOUT_CLASSIFICATION
' see javax swing Icon paintIcon java awt Component java awt Graphics int int ',WITHOUT_CLASSIFICATION
' REQUIRED COMMAND LINE PARAMETERS ',WITHOUT_CLASSIFICATION
' If this is defined it is assumed to be the alias of a user supplied certificate overrides dynamic mode NON NLS ',WITHOUT_CLASSIFICATION
' i n ColumnDetailsDialog columnNameLabel Column Name ',WITHOUT_CLASSIFICATION
' Die braucht nur SQL Server SQL Server nicht mehr sagt SAN',WITHOUT_CLASSIFICATION
' NOTUSED private String chosenFile ',DESIGN
' end of variable scope',WITHOUT_CLASSIFICATION
' TreeCellRenderer implementation',WITHOUT_CLASSIFICATION
' The byte is automatically widened into an int with sign extension for shifting This can introduce is to the left of the byte which must be cleared by masking before looking up the hex digit ',WITHOUT_CLASSIFICATION
' First try for an accessible version of the exact match This first lookup seems redundant with below but is apparently needed This whole thing is messy ',DESIGN
' non Javadoc see org eclipse emf ecore xmi XMLLoad load org eclipse emf ecore xmi XMLResource org w c dom Node java util Map ',WITHOUT_CLASSIFICATION
' i n graph formats Formats ',WITHOUT_CLASSIFICATION
' convert the font size in pt for awt to height in pixels for swt',WITHOUT_CLASSIFICATION
' in method body with no containing loop issue jump error load runtime and value issue jump error',WITHOUT_CLASSIFICATION
' Sample that will get two sub results simulates a web page load ',WITHOUT_CLASSIFICATION
' views will depend on tables so drop them first',WITHOUT_CLASSIFICATION
' todo this might really even be moved into the cfg package and used as the basis for all things which are configurable ',DESIGN
' compareVersions method',WITHOUT_CLASSIFICATION
' non Javadoc see net sourceforge squirrel sql fw sql ISQLDriver setWebSiteUrl java lang String ',WITHOUT_CLASSIFICATION
' Update server port',WITHOUT_CLASSIFICATION
' Right click popup',WITHOUT_CLASSIFICATION
' once one criticism is found exit',WITHOUT_CLASSIFICATION
' elements have empty nodeValue but we are usually interested in their content',WITHOUT_CLASSIFICATION
' do layout',WITHOUT_CLASSIFICATION
' OK ',WITHOUT_CLASSIFICATION
' InstallPanel constructor',WITHOUT_CLASSIFICATION
' i n HibernateConfigPanel toObtainSessionFact To obtain a Hibernate SessionFactoryImpl instance SQuirreL should ',WITHOUT_CLASSIFICATION
' After changing CommandlineJava to search for the java executable I do not know how to tests the value returned here without using the same logic as applied in the class itself assertTrue no classpath java s ',WITHOUT_CLASSIFICATION
' make the link area a square if the pie chart is to be circular is circular ',WITHOUT_CLASSIFICATION
' i n DriverPropertiesController title DriverProperties ',WITHOUT_CLASSIFICATION
' This is not actually a constant but a reference to FROM element ',WITHOUT_CLASSIFICATION
' we are at the first hour in the day ',WITHOUT_CLASSIFICATION
' if we are not attempting to invoke method missing and method is not visible branch to method missing',WITHOUT_CLASSIFICATION
' Check if we have it in the cache',WITHOUT_CLASSIFICATION
' Begin unit of work',WITHOUT_CLASSIFICATION
' make sure we know it when a classifier is added as a base',WITHOUT_CLASSIFICATION
' i n editextras hour Hour ',WITHOUT_CLASSIFICATION
' SUBCLASS PROPERTY CLOSURE',WITHOUT_CLASSIFICATION
' Only go forward if the generic and the websphere file both exist',WITHOUT_CLASSIFICATION
' moveGap method',WITHOUT_CLASSIFICATION
' AC D A ',WITHOUT_CLASSIFICATION
' isBlockCaretEnabled method',WITHOUT_CLASSIFICATION
' pdfDocument class will be null so the function will return false',WITHOUT_CLASSIFICATION
' A Classifier can only have a single unnamed ClassifierRole so TODO This probably belongs in a critic instead of here',DESIGN
' draw the label',WITHOUT_CLASSIFICATION
' Cache of parsers parsers must be re usable',WITHOUT_CLASSIFICATION
' exception handler should handle all error handling stuff',WITHOUT_CLASSIFICATION
' save operations ',WITHOUT_CLASSIFICATION
' i n ImportDataIntoTableExecutor sqlException A database error occured while inserting data i n ImportDataIntoTableExecutor error Error ',WITHOUT_CLASSIFICATION
' normal exit perform finally and return',WITHOUT_CLASSIFICATION
' Clear session info from all actions ',WITHOUT_CLASSIFICATION
' LF blank line found',WITHOUT_CLASSIFICATION
' Generate code to call ClassGeneratorUtil to get our switch index and give us args ',WITHOUT_CLASSIFICATION
' an assertion',WITHOUT_CLASSIFICATION
' FIXME this image SerialUtilities readImage stream ',WITHOUT_CLASSIFICATION
' horizontal rectangle',WITHOUT_CLASSIFICATION
' ss exe exits with when files have been skipped so we have to ignore the failure',WITHOUT_CLASSIFICATION
' Ca not delete records in snapshots Oracle materialized views ',WITHOUT_CLASSIFICATION
' treat directories specified using DIR syntax as files',WITHOUT_CLASSIFICATION
' int modelCol getTable convertColumnIndexToModel col ',WITHOUT_CLASSIFICATION
' a fishing expedition ignore errors if antlib not present',WITHOUT_CLASSIFICATION
' If the first wrapped value is found ',WITHOUT_CLASSIFICATION
' Passed test ',WITHOUT_CLASSIFICATION
' Only interested in the ownedElement property Either something has been added to the namespace for this model or removed In the latter case the something will be in the old value of the property which is the collection of owned elements and the new value will be the element import describing the model element and the model from which it was removed',WITHOUT_CLASSIFICATION
' Test with all kinds of input data ',WITHOUT_CLASSIFICATION
' Add any remaining object index pairs from either set ',WITHOUT_CLASSIFICATION
' do a check',WITHOUT_CLASSIFICATION
' otherwise the number of subregions',WITHOUT_CLASSIFICATION
' uid o ',WITHOUT_CLASSIFICATION
' exact match on first item',WITHOUT_CLASSIFICATION
' First Line with Labels',WITHOUT_CLASSIFICATION
' non Javadoc see org columba calendar ui calendar api ICalendarView viewPrevious ',WITHOUT_CLASSIFICATION
' eg user just closed a view and did not focus another',WITHOUT_CLASSIFICATION
' If the join is implied then do not include sub classes on the element ',WITHOUT_CLASSIFICATION
' make a time zone with no DST for our Calendar calculations',WITHOUT_CLASSIFICATION
' create splitpane containing the bodytext editor and the attachment panel',WITHOUT_CLASSIFICATION
' If we made something aggregate make sure the other ends conform to UML WFR no more than one aggregate end',WITHOUT_CLASSIFICATION
' Remaining implementations delegate to the wrapped key manager',WITHOUT_CLASSIFICATION
' float number of seconds',WITHOUT_CLASSIFICATION
' MStateVertex ',WITHOUT_CLASSIFICATION
' TODO Why should not we call registerSQLDriver here RMM ',DESIGN
' revert all current edits for this node',WITHOUT_CLASSIFICATION
' The feature name is extracted lower cased ',WITHOUT_CLASSIFICATION
' if complex use the last search folder',WITHOUT_CLASSIFICATION
' Set the contents of the component without resetting the original value ',WITHOUT_CLASSIFICATION
' set the response defaults',WITHOUT_CLASSIFICATION
' calculate the height',WITHOUT_CLASSIFICATION
' close the output file if required',WITHOUT_CLASSIFICATION
' and write them to our output stream',WITHOUT_CLASSIFICATION
' new instance to invoke run against',WITHOUT_CLASSIFICATION
' init from config read number write result as new default and prepare keys',WITHOUT_CLASSIFICATION
' applicationShouldTerminate method',WITHOUT_CLASSIFICATION
' i n firebird showTrigger Show trigger source ',WITHOUT_CLASSIFICATION
' We should not have a query string part',WITHOUT_CLASSIFICATION
' dummy output for the framed report it is all done by extension ',WITHOUT_CLASSIFICATION
' there was an error',WITHOUT_CLASSIFICATION
' TODO URLEncode ',DESIGN
' for some reason the antlr CommonAST initialization routines force this method to get called twice The first time with an empty string',WITHOUT_CLASSIFICATION
' see javax swing AbstractListModel fireContentsChanged Object int int ',WITHOUT_CLASSIFICATION
' loop through all extensions this plugin uses search the corresponding extension handler register the extension at the extension handler',WITHOUT_CLASSIFICATION
' zipfile comment length ',WITHOUT_CLASSIFICATION
' notify model',WITHOUT_CLASSIFICATION
' Usually the initialized is set to true But here it must not Because the prepend and append readers have to be instantiated on runtime newFilter setInitialized true ',WITHOUT_CLASSIFICATION
' Made following changes from OCL in UML section CollaborationInstance CollaborationInstanceSet Stimuli Stimulus',WITHOUT_CLASSIFICATION
' join q createJoinFragment useThetaStyleJoin ',WITHOUT_CLASSIFICATION
' Update the current field The addend is only expected to be but other values will work N B the roll method only supports changes by a single unit up or down ',WITHOUT_CLASSIFICATION
' non Javadoc see com mockobjects sql MockDatabaseMetaData supportsResultSetHoldability int ',WITHOUT_CLASSIFICATION
' Prepare the common tab',WITHOUT_CLASSIFICATION
' Create a frame controller for this view view null defaults specified by frame controller is used',WITHOUT_CLASSIFICATION
' Apply a redirection pattern if specified ',WITHOUT_CLASSIFICATION
' For lists maps and feature maps the default is many valued which can be overridden by an upper bound declaration ',WITHOUT_CLASSIFICATION
' Add ASCII Digits and ASCII Hex Numbers',WITHOUT_CLASSIFICATION
' ALTER TABLE tableName ALTER COLUMN columnName SET nullable ',WITHOUT_CLASSIFICATION
' non Javadoc see org columba api gui frame IDock registerDockable org columba api gui frame IDockable ',WITHOUT_CLASSIFICATION
' start is after last data item',WITHOUT_CLASSIFICATION
' range each func range step i b e args ',WITHOUT_CLASSIFICATION
' this rectangle marks the operation section all operations are inside it',WITHOUT_CLASSIFICATION
' treat it as a path expression',WITHOUT_CLASSIFICATION
' N B must be done after opening connection',WITHOUT_CLASSIFICATION
' Include derived relations only if they will not also come from mixed or a group ',WITHOUT_CLASSIFICATION
' see org tigris gef graph GraphModel getInEdges java lang Object ',WITHOUT_CLASSIFICATION
' non Javadoc see com mockobjects sql MockDatabaseMetaData supportsOrderByUnrelated ',WITHOUT_CLASSIFICATION
' Action to be taken when a Sampler error occurs ',WITHOUT_CLASSIFICATION
' Create a emtpy header an back off',WITHOUT_CLASSIFICATION
' open up the resource',WITHOUT_CLASSIFICATION
' remove session from current context ',WITHOUT_CLASSIFICATION
' does not handle arrays thats ok cos they ca not be lazy or newly instantiated collections so we can do the cast',WITHOUT_CLASSIFICATION
' remove from old mediator is listener list',WITHOUT_CLASSIFICATION
' Note that multiplicity is what is the notation is listening for in UML uppervalue are listened to in UML It is not currently why it is not required to register for lowerValue also ',WITHOUT_CLASSIFICATION
' FontSelectorDialog constructor',WITHOUT_CLASSIFICATION
' update treenode',WITHOUT_CLASSIFICATION
' now remove series from collection ',WITHOUT_CLASSIFICATION
' scripting xml configuration file should reside in config folder ',WITHOUT_CLASSIFICATION
' Read the literal ',WITHOUT_CLASSIFICATION
' Handle eOpposite specially ',WITHOUT_CLASSIFICATION
' class preloading so packages are there ',WITHOUT_CLASSIFICATION
' getParserRuleSet method',WITHOUT_CLASSIFICATION
' background range markers ',WITHOUT_CLASSIFICATION
' trim the table name in case of HADB',WITHOUT_CLASSIFICATION
' Return copy so that the call must call setEof to change the state of fixCRLF',WITHOUT_CLASSIFICATION
' Override public final void setHeadline String s setupHeadAndDesc ',WITHOUT_CLASSIFICATION
' non Javadoc see org columba mail folder IMailbox getFlags java lang Object ',WITHOUT_CLASSIFICATION
' And the parameter names and values ',WITHOUT_CLASSIFICATION
' The DecisionModel is part of the state of the Designer It describes what types of decisions or design issues the Designer is thinking about at the current time Critics that are relevant to those decisions are made active Critics that are not relevant are made inactive TODO There is some notion that each decision has a certain importanance at a certain time but I have not followed through on that because I do not have good examples of how to quantify the importance of a decision TODO Right now the individual decisions are just Strings maybe they should have some non atomic structure author Jason Robbins ',DESIGN
' receiver',WITHOUT_CLASSIFICATION
' for leap years ',WITHOUT_CLASSIFICATION
' check that null items are ignored if requested',WITHOUT_CLASSIFICATION
' create the buttons for input done and cancel',WITHOUT_CLASSIFICATION
' initial spaces spaces before at ',WITHOUT_CLASSIFICATION
' adjustDockingAreasToFit method',WITHOUT_CLASSIFICATION
' Data ',WITHOUT_CLASSIFICATION
' mark message as read',WITHOUT_CLASSIFICATION
' Folder to store the user settings in',WITHOUT_CLASSIFICATION
' updateText method',WITHOUT_CLASSIFICATION
' Also set name in constraint body Added ',WITHOUT_CLASSIFICATION
' ArgoEventPump is an event dispatcher which handles events that are global in nature for the entire application p TODO DiagramAppearance and Notation events are not application wide and will be moved from here to someplace more specific in the future so that they can be managed on a per project or per diagram basis ',DESIGN
' ctor used by remove rehash',WITHOUT_CLASSIFICATION
' If the event originated from the window w glass pane consume the event',WITHOUT_CLASSIFICATION
' getMouseOverText method',WITHOUT_CLASSIFICATION
' This should NOT be looking for a NamedElement since this is not always about the name of this modelelement alone ',DESIGN
' I do not think localMatcher can be null here but check just in case',WITHOUT_CLASSIFICATION
' Set the most significant bit of the first octet to so as to distinguish it from IEEE node addresses ',WITHOUT_CLASSIFICATION
' all of the following have been converted to use the DataType objects So why not just have case Types NULL and default this seems pointless RMM ',DESIGN
' broken Eclipse workaround Febuary ',DESIGN
' for DOM J collections only TODO it would be better if this was done at the higher level by Printer',DESIGN
' Bug It is very important to get the URI from the URL and not simply do new File JavaClassSATD In the case where the path contains spaces they get encoded as in the string returned from JavaClassSATD java io File does not know how to deal with them i e replace them with spaces and the resulting File is rendered non existent ',DEFECT
' pick up the last round of dependencies that were determined',WITHOUT_CLASSIFICATION
' TODO Can we delegate this to a specialist FigName class ',DESIGN
' i n HQLEntryPanelManager quoteHQL Quote HQL ',WITHOUT_CLASSIFICATION
' If this type of This implements it directly return this else try complain that we do not have the proxy mechanism ',WITHOUT_CLASSIFICATION
' Search all attributes found to those expected If any do not match then turn off the found flag so that we search for the next matching tag ',WITHOUT_CLASSIFICATION
' would be imprecise',WITHOUT_CLASSIFICATION
' File object for doing IO',WITHOUT_CLASSIFICATION
' TODO SafeStringValue here',IMPLEMENTATION
' add dest dir to classpath so that previously compiled and untouched classes are on classpath',WITHOUT_CLASSIFICATION
' We are getting events we do not want Filter them out ',WITHOUT_CLASSIFICATION
' Create column list',WITHOUT_CLASSIFICATION
' Log log Log DEBUG jEdit class fnf ',WITHOUT_CLASSIFICATION
' setLineHighlightEnabled method',WITHOUT_CLASSIFICATION
' PROPS',WITHOUT_CLASSIFICATION
' Several tries to construct a URL that really exists ',WITHOUT_CLASSIFICATION
' Ignore it if we have already set generic versions of these ',WITHOUT_CLASSIFICATION
' Just swap order of arguments to get to new form',WITHOUT_CLASSIFICATION
' Remark There is also a java like notation which is also part of ArgoUML core distribution ',WITHOUT_CLASSIFICATION
' implementation of org apache tools ant taskdefs ExecuteStreamHandler interface',WITHOUT_CLASSIFICATION
' if there are no requests execute AWT requests immediately',WITHOUT_CLASSIFICATION
' compareChars ',WITHOUT_CLASSIFICATION
' treat the last column value as an absolute',WITHOUT_CLASSIFICATION
' i n AliasWindowFactory error copyAlias Error occured copying the alias ',WITHOUT_CLASSIFICATION
' no need to take a snapshot this is a performance optimization but not really important except for entities with huge mutable property values',DEFECT
' build successfull ',WITHOUT_CLASSIFICATION
' i n editWhereColsSheet limitSizeOfWhereClause Limit the size of the WHERE clause used behind the scenes when editing cell contents ',WITHOUT_CLASSIFICATION
' Read the remaining tokens ',WITHOUT_CLASSIFICATION
' the keystore for use by the Proxy',WITHOUT_CLASSIFICATION
' Note we assume members are ordered correctly already',WITHOUT_CLASSIFICATION
' di degree ',WITHOUT_CLASSIFICATION
' is this really the character set e g ISO UTF ',WITHOUT_CLASSIFICATION
' only resource collections there better be some',WITHOUT_CLASSIFICATION
' TODO This is really quite attrocious since there is code that will assume an iterator that returns strings ',DESIGN
' JDK usage command line says that jar must be the first option as there is a bug in JDK that forces the jvm type to be specified as the first option it is appended here as specified in the docs even though there is in fact no order ',WITHOUT_CLASSIFICATION
' findWordEnd method',WITHOUT_CLASSIFICATION
' second pass adds shapes where the items are ',WITHOUT_CLASSIFICATION
' It must be an unsettable feature to be empty and considered set ',WITHOUT_CLASSIFICATION
' c gridx c gridy g setConstraints close c panel add close ',WITHOUT_CLASSIFICATION
' TODO what if batchUpdate is a callablestatement calls executeBatch ',DEFECT
' phone business value business home value home phone ',WITHOUT_CLASSIFICATION
' Test if there is a trailing html tag',WITHOUT_CLASSIFICATION
' Jaap Branderhorst from here made visibility etc configurable',WITHOUT_CLASSIFICATION
' FIXME add setBaseShape Shape boolean ',WITHOUT_CLASSIFICATION
' Accessor methods ',WITHOUT_CLASSIFICATION
' If we have got a local uninherited font name or size or if we have got no parent to inherit from recompute our cached fonts',WITHOUT_CLASSIFICATION
' restoreSplitConfig method',WITHOUT_CLASSIFICATION
' private boolean pop ',WITHOUT_CLASSIFICATION
' see org tigris swidgets Dialog nameButtons ',WITHOUT_CLASSIFICATION
' A Concurrent region cannot have incoming or outgoing transitions so incoming or outgoing transitions are redirected to its concurrent composite state container ',WITHOUT_CLASSIFICATION
' Two points for line segment used to compute slope of path here NOTE that this is the average slope not instantaneous so it will give screwy results near bends in the path',WITHOUT_CLASSIFICATION
' check that reference zipfilesets cannot have specific attributes',WITHOUT_CLASSIFICATION
' End BeanShell Modification override error methods and toString',WITHOUT_CLASSIFICATION
' private to prevent invocation with param that is not a primitive wrapper',WITHOUT_CLASSIFICATION
' Find the WHERE if there is no WHERE find the FROM ',WITHOUT_CLASSIFICATION
' elements and trailing nils',WITHOUT_CLASSIFICATION
' end class CrOppEndConflict ',WITHOUT_CLASSIFICATION
' for now since all browser actions are written in beanshell we set the browser variable directly ',WITHOUT_CLASSIFICATION
' segments wraps right around the back ',WITHOUT_CLASSIFICATION
' Read the name of the child tag and then reset read position back to that child tag ',WITHOUT_CLASSIFICATION
' focusOnTextArea method',WITHOUT_CLASSIFICATION
' reset the min and max',WITHOUT_CLASSIFICATION
' ca not set TC classloader',WITHOUT_CLASSIFICATION
' do this when all the properties are updateable since there is a certain likelihood that the information will already be snapshot cached ',WITHOUT_CLASSIFICATION
' TODO fix up for Nimbus LAF',DESIGN
' retrieve last replacer ',WITHOUT_CLASSIFICATION
' EcoreAdapterFactory',WITHOUT_CLASSIFICATION
' non Javadoc see org columba mail imap IImapServer expunge org columba mail folder imap IMAPFolder ',WITHOUT_CLASSIFICATION
' add us to new superclass is child classes',WITHOUT_CLASSIFICATION
' filesActivated method',WITHOUT_CLASSIFICATION
' views xml view header header enabled true id ThreePaneMail infopanel true main window maximized true height width y x window toolbars infopanel true main true toolbars splitpanes header header enabled true main attachment splitpanes view ',WITHOUT_CLASSIFICATION
' TODO improve this check',DESIGN
' TODO Allow adding models to a diagram issue ',DEFECT
' If there are no arguments we can send a file as the body of the request',WITHOUT_CLASSIFICATION
' figure out if we need to iterate through all the y values',WITHOUT_CLASSIFICATION
' TODO If the next line trows an exception then what do we do with the remainder of the parsed to be parsed lines ',WITHOUT_CLASSIFICATION
' stay in block comment state',WITHOUT_CLASSIFICATION
' if no nested natural order ',WITHOUT_CLASSIFICATION
' fireMessageRemoved uid getFlags uid ',WITHOUT_CLASSIFICATION
' check invalid indices',WITHOUT_CLASSIFICATION
' if it is an array only add methods for aref aset and length',WITHOUT_CLASSIFICATION
' checkonly ',WITHOUT_CLASSIFICATION
' backgroundImageAlpha',WITHOUT_CLASSIFICATION
' there are only four x platforms that we look for',WITHOUT_CLASSIFICATION
' make a deep copy',WITHOUT_CLASSIFICATION
' XMLJUnitResultFormatter',WITHOUT_CLASSIFICATION
' Check to see if all targets are classifiers before adding an option to create an association between them all',WITHOUT_CLASSIFICATION
' first digit is always printed',WITHOUT_CLASSIFICATION
' physDown method scroll down by physical line amount',WITHOUT_CLASSIFICATION
' Need to arm the rerouting capability with mouseDragged p Do not arm if the edtior is current mode is a figedge create mode because once a new edge has been created it is not deselected therefore on the next create an unwanted reroute is performed see java awt event MouseMotionListener mouseDragged java awt event MouseEvent ',WITHOUT_CLASSIFICATION
' trailing garbage',WITHOUT_CLASSIFICATION
' get current list selection',WITHOUT_CLASSIFICATION
' Create button',WITHOUT_CLASSIFICATION
' remove any null elements',WITHOUT_CLASSIFICATION
' nothing specified use default',WITHOUT_CLASSIFICATION
' the height of the blank space above and below the text figs ',WITHOUT_CLASSIFICATION
' At this point we have either got too many or just the right amount See if this numRepeats works with the rest of the regexp ',WITHOUT_CLASSIFICATION
' empty init NON NLS ',WITHOUT_CLASSIFICATION
' super internalFrameClosed evt ',WITHOUT_CLASSIFICATION
' TODO Do we want isaUMLElement here ',IMPLEMENTATION
' Create an empty but initialized instance of a UML AssociationEnd return an initialized UML AssociationEnd instance TODO This needs an extra parameter to specify the model extent where the new element should be created ',DESIGN
' JMX file attributes NON NLS ',WITHOUT_CLASSIFICATION
' Folder that stores themepacks for this LAF ',WITHOUT_CLASSIFICATION
' container specification group',WITHOUT_CLASSIFICATION
' Not in UML ',WITHOUT_CLASSIFICATION
' Currently not cachable if autodiscover types is in effect e g select ',WITHOUT_CLASSIFICATION
' adding at allows distinguish annotations from other members i e inner class verses annotation of a class ',WITHOUT_CLASSIFICATION
' labelLinkPaint ',WITHOUT_CLASSIFICATION
' B BFF ',WITHOUT_CLASSIFICATION
' Check if we have found a content length header NON NLS ',WITHOUT_CLASSIFICATION
' range description null',WITHOUT_CLASSIFICATION
' First try to get the persister using the given name directly ',WITHOUT_CLASSIFICATION
' Note This class is messy The method and field resolution need to be rewritten Various methods in here catch NoSuchMethod or NoSuchField exceptions during their searches These should be rewritten to avoid having to catch the exceptions Method lookups are now cached at a high level so they are less important however the logic is messy ',DESIGN
' Manifest is ClassPath attribute always uses forward slashes and is space separated Ant will properly format it on columns with proper line continuation',WITHOUT_CLASSIFICATION
' i n mssql generateDrop Generate the DROP object command for each object ',WITHOUT_CLASSIFICATION
